nom_norm,code_postal,code_insee,lat,lon,population,dept
BREVILLE,16370,16060,45.78480,-0.27440,436,16
BREVILLE LES MONTS,14860,14106,49.23690,-0.21770,661,14
BREVILLE SUR MER,50290,50081,48.86970,-1.55490,791,50
BREVILLERS,62140,62175,50.34750,2.02140,156,62
BREVILLERS,80600,80140,50.21660,2.38030,116,80
BREVILLIERS,70400,70096,47.57940,6.79970,626,70
BREVILLY,08140,08083,49.65970,5.08120,366,08
BREVONNES,10220,10061,48.34780,4.40670,673,10
BREXENT ENOCQ,62170,62176,50.50660,1.72350,634,62
BREY ET MAISON DU BOIS,25240,25096,46.74690,6.23900,188,25
BREZIERS,05190,05022,44.41630,6.21840,229,05
BREZILHAC,11270,11051,43.16660,2.07460,172,11
BREZINS,38590,38058,45.34750,5.30580,2312,38
BREZOLLES,28270,28059,48.68980,1.06400,1785,28
